"","major","year_in_school","vote_status_2018","vote_status_2016","vote_intention_2020","voter_identity","feelings_on_voter_importance","desire_to_be_more_engaged","feelings_on_STEM_turnout","free_response","given_turnout_explanation","STEM_representation_better_gov","stem_dummy"
"703","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"704","KIN","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"705","KIN","Undergraduate, 3rd year","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"706","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","They forget about it.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"707","KIN","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","No","No","I feel that STEM majors future careers wont be effected as significantly as others (for example business or education). ","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"708","KIN","Undergraduate, 3rd year","No","Was not eligible","Yes","No","Strongly Agree","Yes","Yes","Apathy","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"709","KIN","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Less education on the importance of voter efficacy. Less education on political processes and the importance of being an active voter.","Lack of discussion on these topics in classes","Definitely yes","Stem"
"710","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","Because of busy lives","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"711","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","Yes","","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"712","KIN","Undergraduate, 2nd year","Was not eligible","Was not eligible","Yes","Yes","Somewhat agree","Yes","No","Individuals' focus are centered towards their academics rather than an outside stimuli (voting).","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"713","KIN","Undergraduate, 4th year","Yes","Yes","Yes","Yes","Strongly Agree","No","Yes","Thinking their one vote won’t matter, no time because of coursework, apathy.","Lack of time due to course load,The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"714","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","Perhaps they feel less in touch with the social and political world compared to liberal arts students","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Probably yes","Stem"
"715","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","Lack of time due to course load,Lack of discussion on these topics in classes","Definitely yes","Stem"
"716","KIN","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","Yes","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"717","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","Yes","Maybe they are too busy with their majors they don't find time?","Lack of time due to course load,Lack of discussion on these topics in classes","Probably yes","Stem"
"718","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"719","KIN","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","They may not care for it ","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes","Might or might not","Stem"
"720","KIN","Transferred, undergraduate - equivalent to 3rd year or later","Yes","Yes","Yes","Yes","Strongly Agree","Yes","No","I believe that certain personalities/characteristics of STEM students don't view or value democracy the same as those students who are perhaps more socially engaged.","The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"721","KIN","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","No","No","","Lack of time due to course load","Might or might not","Stem"
"722","KIN","Undergraduate, 2nd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","i don't know","Lack of time due to course load,The belief that government and who is elected to it aren't important,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
"723","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Strongly Agree","Yes","Yes","They may not feel like it concerns them.","Lack of time due to course load,Lack of discussion on these topics in classes,The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"724","KIN","Undergraduate, 3rd year","Yes","Was not eligible","Yes","Yes","Somewhat agree","No","No","voting may be inconvenient or unattainable to some. Soe may be confused, and others may simply not care to vote.","Lack of time due to course load,The belief that government and who is elected to it aren't important","Probably yes","Stem"
"735","M E","Undergraduate, 1st year","Was not eligible","Was not eligible","Yes","Yes","Strongly Agree","Yes","No","","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"736","M E","Undergraduate, 4th year","No","Yes","Yes","Yes","Strongly Agree","No","Yes","Disillusioned ","The belief that mathematically speaking, any one individual vote doesn't matter","Probably yes","Stem"
"737","M E","Undergraduate, 2nd year","No","Was not eligible","Yes","Yes","Somewhat agree","No","No","One vote doesn’t matter ","The belief that mathematically speaking, any one individual vote doesn't matter","Might or might not","Stem"
"738","M E","Undergraduate, 4th year","Yes","No","Yes","Yes","Strongly Agree","Yes","Yes","A lot of us are very lazy","The belief that government and who is elected to it aren't important,The belief that mathematically speaking, any one individual vote doesn't matter","Definitely yes","Stem"
